key,ko,comment
busStation.ui.error.noArrivalInfo,"도착 예정 정보가 없습니다.","정류장 상세: 도착 정보 없음 에러"
busStation.ui.error.noRoutes,"경유 노선 정보를 찾을 수 없습니다.","정류장 상세: 경유 노선 없음 에러"
busStation.ui.guidance,"자주 이용하는 버스를 등록해 주세요.","정류장 상세: 즐겨찾기 유도"
homeEdit.ui.title,"즐겨찾기 편집","즐겨찾기 편집: 내비게이션 타이틀"
common.a11y.button.refresh,"새로고침","A11y: 새로고침 버튼의 VoiceOver 레이블"
home.a11y.button.quickCamera,"빠른 카메라","A11y: 빠른 카메라 버튼"
busStation.ui.button.recognizeBus,"버스 인식하기","버스 정류장 화면: 버스 인식 버튼"
common.a11y.button.home,"홈으로 이동","A11y: 홈으로 이동 버튼"
common.a11y.button.toggleFavorite,"즐겨찾기 토글","A11y: 즐겨찾기 상태를 토글하는 버튼"
quickCamera.ui.title,"빠른 카메라","빠른 카메라 화면: 타이틀"
debug.ui.link.busVision,"207, 306","디버그: 버스 비전 테스트 링크"
debug.ui.title,"Debug Logs","디버그: 화면 타이틀"
debug.ui.button.clear,"Clear","디버그: 로그 지우기 버튼"
debug.ui.button.sttTtsTest,"STT & TTS Test View","디버그: STT/TTS 테스트 뷰 이동 버튼"
sttTtsTest.ui.title.stt,"음성 받아적기 테스트","STT/TTS 테스트: STT 섹션 타이틀"
sttTtsTest.ui.placeholder.stt,"여기에 인식된 텍스트가 표시됩니다.","STT/TTS 테스트: STT 결과 플레이스홀더"
sttTtsTest.ui.button.stopListening,"🛑 인식 중지","STT/TTS 테스트: STT 인식 중지 버튼"
sttTtsTest.ui.button.startListening,"🎙️ 인식 시작","STT/TTS 테스트: STT 인식 시작 버튼"
sttTtsTest.ui.title.tts,"읽을 텍스트","STT/TTS 테스트: TTS 섹션 타이틀"
sttTtsTest.ui.placeholder.tts,"텍스트를 입력하세요","STT/TTS 테스트: TTS 입력 플레이스홀더"
sttTtsTest.ui.button.dismissKeyboard,"키보드 내리기","STT/TTS 테스트: 키보드 내리기 버튼"
sttTtsTest.ui.button.read,"읽기","STT/TTS 테스트: TTS 읽기 버튼"
sttTtsTest.ui.button.stop,"정지","STT/TTS 테스트: TTS 정지 버튼"
sttTtsTest.ui.title.navigation,"STT&TTS 테스트 페이지","STT/TTS 테스트: 내비게이션 타이틀"
test.ui.title.navigation,"버스 API 테스트","테스트: 내비게이션 타이틀"
test.ui.label.searchTerm,"검색어","테스트: 검색어 레이블"
test.ui.placeholder.noSearchTerm,"검색어 없음","테스트: 검색어 없음 플레이스홀더"
test.ui.label.coordinates,"위도/경도","테스트: 위도/경도 레이블"
test.ui.label.cityCode,"cityCode","테스트: cityCode 레이블"
test.ui.label.route,"노선 ID/노선 번호","테스트: 노선 레이블"
test.ui.label.nodeId,"nodeId","테스트: nodeId 레이블"
test.ui.label.responsePreview,"응답 미리보기","테스트: 응답 미리보기 레이블"
test.ui.label.apiCall,"테스트 API 호출","테스트: API 호출 섹션 타이틀"
test.ui.title.stopSection,"정류장 조회","테스트: 정류장 조회 섹션 타이틀"
test.ui.title.arrivalSection,"도착 정보","테스트: 도착 정보 섹션 타이틀"
test.ui.title.routeSection,"노선 정보","테스트: 노선 정보 섹션 타이틀"
test.ui.button.searchStop.title,"정류장 키워드 검색","테스트: 정류장 키워드 검색 버튼 타이틀"
test.ui.button.searchStop.subtitle,"도시 코드와 정류장 이름으로 조회","테스트: 정류장 키워드 검색 버튼 서브타이틀"
test.ui.button.stopsByGps.title,"현위치 주변 정류장","테스트: 현위치 주변 정류장 버튼 타이틀"
test.ui.button.stopsByGps.subtitle,"현재 좌표 기준으로 반경 검색","테스트: 현위치 주변 정류장 버튼 서브타이틀"
test.ui.button.stopRoutes.title,"정류장을 지나는 노선","테스트: 정류장을 지나는 노선 버튼 타이틀"
test.ui.button.stopRoutes.subtitle,"선택한 정류장을 통과하는 노선 목록","테스트: 정류장을 지나는 노선 버튼 서브타이틀"
test.ui.button.arrivals.title,"정류장 도착 정보","테스트: 정류장 도착 정보 버튼 타이틀"
test.ui.button.arrivals.subtitle,"정류장 기준 전체 도착 예정 정보","테스트: 정류장 도착 정보 버튼 서브타이틀"
test.ui.button.arrivalsForRoute.title,"특정 노선 도착 정보","테스트: 특정 노선 도착 정보 버튼 타이틀"
test.ui.button.arrivalsForRoute.subtitle,"정류장 + 노선 조합으로 도착 조회","테스트: 특정 노선 도착 정보 버튼 서브타이틀"
test.ui.button.routeBusLocations.title,"차량 실시간 위치","테스트: 차량 실시간 위치 버튼 타이틀"
test.ui.button.routeBusLocations.subtitle,"선택한 노선의 차량 위치 추적","테스트: 차량 실시간 위치 버튼 서브타이틀"
test.ui.button.routeInfo.title,"노선 기본 정보","테스트: 노선 기본 정보 버튼 타이틀"
test.ui.button.routeInfo.subtitle,"첫/막차 시간 등 노선 상세 확인","테스트: 노선 기본 정보 버튼 서브타이틀"
test.ui.button.searchRoute.title,"노선 번호 검색","테스트: 노선 번호 검색 버튼 타이틀"
test.ui.button.searchRoute.subtitle,"노선 번호 키워드로 노선 찾기","테스트: 노선 번호 검색 버튼 서브타이틀"
test.ui.button.routeStops.title,"노선 경유 정류장","테스트: 노선 경유 정류장 버튼 타이틀"
test.ui.button.routeStops.subtitle,"노선이 지나가는 정류장 순서 확인","테스트: 노선 경유 정류장 버튼 서브타이틀"
test.ui.label.rawResponse,"원본 응답(JSON)","테스트: 원본 응답 레이블"
